trained model checkpoints/epoch_34_listener is loaded
trained model checkpoints/epoch_34_speller is loaded
[0/328][144/578] prediction done | time : 0.20s
[0/328][145/578] prediction done | time : 0.20s
[0/328][146/578] prediction done | time : 0.21s
[0/328][147/578] prediction done | time : 0.21s
[0/328][148/578] prediction done | time : 0.21s
[0/328][149/578] prediction done | time : 0.21s
[0/328][150/578] prediction done | time : 0.21s
[0/328][151/578] prediction done | time : 0.22s
[0/328][152/578] prediction done | time : 0.22s
[0/328][153/578] prediction done | time : 0.22s
[0/328][154/578] prediction done | time : 0.22s
[0/328][155/578] prediction done | time : 0.22s
[0/328][156/578] prediction done | time : 0.22s
[0/328][157/578] prediction done | time : 0.22s
[0/328][158/578] prediction done | time : 0.22s
[0/328][159/578] prediction done | time : 0.23s
[0/328][160/578] prediction done | time : 0.23s
[0/328][161/578] prediction done | time : 0.23s
[0/328][162/578] prediction done | time : 0.23s
[0/328][163/578] prediction done | time : 0.23s
[0/328][164/578] prediction done | time : 0.23s
[0/328][165/578] prediction done | time : 0.24s
[0/328][166/578] prediction done | time : 0.23s
[0/328][167/578] prediction done | time : 0.24s
[0/328][168/578] prediction done | time : 0.24s
[0/328][169/578] prediction done | time : 0.24s
[0/328][170/578] prediction done | time : 0.24s
[0/328][171/578] prediction done | time : 0.24s
[0/328][172/578] prediction done | time : 0.24s
[0/328][173/578] prediction done | time : 0.25s
[0/328][174/578] prediction done | time : 0.25s
[0/328][175/578] prediction done | time : 0.25s
[0/328][176/578] prediction done | time : 0.25s
[0/328][177/578] prediction done | time : 0.25s
[0/328][178/578] prediction done | time : 0.25s
[0/328][179/578] prediction done | time : 0.26s
[0/328][180/578] prediction done | time : 0.26s
[0/328][181/578] prediction done | time : 0.26s
[0/328][182/578] prediction done | time : 0.26s
[0/328][183/578] prediction done | time : 0.26s
[0/328][184/578] prediction done | time : 0.26s
[0/328][185/578] prediction done | time : 0.27s
[0/328][186/578] prediction done | time : 0.26s
[0/328][187/578] prediction done | time : 0.27s
[0/328][188/578] prediction done | time : 0.27s
[0/328][189/578] prediction done | time : 0.27s
[0/328][190/578] prediction done | time : 0.27s
[0/328][191/578] prediction done | time : 0.27s
[0/328][192/578] prediction done | time : 0.27s
[0/328][193/578] prediction done | time : 0.27s
[0/328][194/578] prediction done | time : 0.28s
[0/328][195/578] prediction done | time : 0.28s
[0/328][196/578] prediction done | time : 0.28s
[0/328][197/578] prediction done | time : 0.28s
[0/328][198/578] prediction done | time : 0.28s
[0/328][199/578] prediction done | time : 0.28s
[0/328][200/578] prediction done | time : 0.28s
[0/328][201/578] prediction done | time : 0.28s
[0/328][202/578] prediction done | time : 0.29s
[0/328][203/578] prediction done | time : 0.29s
[0/328][204/578] prediction done | time : 0.29s
[0/328][205/578] prediction done | time : 0.30s
[0/328][206/578] prediction done | time : 0.29s
[0/328][207/578] prediction done | time : 0.29s
[0/328][208/578] prediction done | time : 0.29s
[0/328][209/578] prediction done | time : 0.30s
[0/328][210/578] prediction done | time : 0.30s
[0/328][211/578] prediction done | time : 0.30s
[0/328][212/578] prediction done | time : 0.30s
[0/328][213/578] prediction done | time : 0.30s
[0/328][214/578] prediction done | time : 0.30s
[0/328][215/578] prediction done | time : 0.31s
[0/328][216/578] prediction done | time : 0.31s
[0/328][217/578] prediction done | time : 0.31s
[0/328][218/578] prediction done | time : 0.32s
[0/328][219/578] prediction done | time : 0.32s
[0/328][220/578] prediction done | time : 0.32s
[0/328][221/578] prediction done | time : 0.31s
[0/328][222/578] prediction done | time : 0.32s
[0/328][223/578] prediction done | time : 0.32s
[0/328][224/578] prediction done | time : 0.32s
[0/328][225/578] prediction done | time : 0.32s
[0/328][226/578] prediction done | time : 0.32s
[0/328][227/578] prediction done | time : 0.32s
[0/328][228/578] prediction done | time : 0.33s
[0/328][229/578] prediction done | time : 0.33s
[0/328][230/578] prediction done | time : 0.33s
[0/328][231/578] prediction done | time : 0.33s
[0/328][232/578] prediction done | time : 0.33s
[0/328][233/578] prediction done | time : 0.33s
[0/328][234/578] prediction done | time : 0.33s
[0/328][235/578] prediction done | time : 0.33s
[0/328][236/578] prediction done | time : 0.33s
[0/328][237/578] prediction done | time : 0.34s
[0/328][238/578] prediction done | time : 0.34s
[0/328][239/578] prediction done | time : 0.34s
[0/328][240/578] prediction done | time : 0.34s
[0/328][241/578] prediction done | time : 0.34s
[0/328][242/578] prediction done | time : 0.34s
[0/328][243/578] prediction done | time : 0.35s
[0/328][244/578] prediction done | time : 0.35s
[0/328][245/578] prediction done | time : 0.35s
[0/328][246/578] prediction done | time : 0.35s
[0/328][247/578] prediction done | time : 0.35s
[0/328][248/578] prediction done | time : 0.36s
[0/328][249/578] prediction done | time : 0.36s
[0/328][250/578] prediction done | time : 0.37s
[0/328][251/578] prediction done | time : 0.36s
[0/328][252/578] prediction done | time : 0.36s
[0/328][253/578] prediction done | time : 0.36s
[0/328][254/578] prediction done | time : 0.36s
